GeneSymbol	TW-20250618	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9
LOC100128822	6.02976627814011	2.97743212767633	4.9071172095699	3.21687790779002	3.79179560289485	3.0331848877775	2.90773390902636	5.69689212385127	4.59344170361539	3.89426027735883
LOC100129250	35.3172024862492	34.091597861894	33.3956587873507	29.5550657778208	35.2095305983093	28.3536848205288	31.0158283629479	30.9613702383221	28.6694120122202	27.7091596658224
LINC00684	0.430697591295722	0.893229638302899	0.81785286826165	0.603164607710628	1.21879144378763	0.791265622898479	1.61540772723687	0.247690961906577	0	1.04845469005815
ARRDC3-AS1	1.50744156953503	1.93533088298961	1.22677930239247	0.603164607710628	1.08337017225567	0.791265622898479	1.2923261817895	1.48614577143946	1.42555087353581	0.74889620718439
LOC100129858	3.44558073036577	2.38194570214106	3.13510266166966	2.01054869236876	2.84384670217114	2.90130728396109	1.93848927268424	1.98152769525262	3.8014689960955	4.49337724310634
LOC100129961	9.9060445998016	7.44358031919082	10.4957784760245	7.64008503100129	4.46890196055465	10.6820859091295	8.07703863618435	12.6322390572354	10.7708288222706	21.7179900083473
LOC100130000	1.29209277388717	5.06163461704976	3.81664671855437	4.42320712321127	4.06263814595877	4.87947134120729	3.55389699992111	4.45843731431839	2.05912903955173	3.59470179448507
LOC100130298	5.59906868684438	9.52778280856426	8.31483749399344	6.83586555405378	5.01058704668248	6.46200258700425	5.33084549988167	4.95381923813154	10.9292233637746	7.4889620718439
LOC100130357	1.0767439782393	1.33984445745435	1.36308811376942	1.40738408465813	2.43758288757526	1.84628645342978	1.2923261817895	0.743072885719731	0.316789083007958	0.299558482873756
LOC100130581	0.646046386943583	0.595486425535266	1.36308811376942	1.60843895389501	0.947948900723713	1.18689843434772	2.4231115908553	0.495381923813154	1.10876179052785	1.04845469005815
LOC100130855	1.29209277388717	1.04210124468672	0.681544056884708	1.00527434618438	0.541685086127836	1.58253124579696	1.13078540906581	1.73383673334604	1.26715633203183	3.59470179448507
TSTD3	45.2232470860508	36.6224151704189	41.1652610358364	51.872156263114	52.4080320828681	45.2340181090297	36.5082146355532	61.9227404766443	33.7380373403475	59.01302112613
LOC100130894	0	0.595486425535266	0.81785286826165	0.603164607710628	0.541685086127836	0.659388019082066	0.323081545447374	1.23845480953289	0	0
LOC100130950	1.29209277388717	2.53081730852488	2.58986741616189	1.60843895389501	2.16674034451134	2.11004166106261	2.58465236357899	2.22921865715919	1.42555087353581	1.3480131729319
LOC100130992	0.646046386943583	1.04210124468672	1.77201454790024	1.20632921542126	1.48963398685155	0.659388019082066	0.807703863618435	1.98152769525262	1.42555087353581	0.599116965747512
